Recursion Limit, Time Elapsed
2,732179766
4,789200533
6,770918200
8,721894200
10,737664300
12,734400800
14,713779766
16,735610066
18,710547933
20,745469333
22,771000133
24,729418900
26,745231633
28,717564000
30,747169033
32,729659033
34,706974733
36,734365166
38,712875666
40,725058133
42,727298400
44,695229833
46,722711333
48,711626066
50,732425133
52,725042066
54,730386066
56,754792333
58,737253266
60,771626000
62,806183300
64,797939066
66,872708966
68,861449766
70,897507333
72,926481100
74,906772266
76,909324366
78,867428766
80,917820466
82,920600766
84,899797433
86,913340533
88,884333533
90,882370000
92,893575033
94,867494633
96,882244566
98,862125166
100,876800133
102,910788100
104,884420000
106,907394266
108,895880000
110,917638866
112,937698666
114,992777133
116,1063107433
118,1084358300
120,1081874366
122,1093288033
124,1095019033
126,1114427166
128,1070059766
130,1113392566
132,1128070500
134,1078702866
136,1081672133
138,1051625200
140,1048379400
142,1051487233
144,1024441266
146,1040906833
148,1023132633
150,1048750333
152,1067315333
154,1060571533
156,1078841533
158,1083799900
160,1104359166
162,1099475066
164,1097473733
166,1226751166
168,1271475366
170,1300182266
172,1298958366
174,1292118866
176,1312352266
178,1287716000
180,1335450666
182,1335463666
184,1261378433
186,1248183800
188,1212670333
190,1218213400
192,1231449800
194,1179983100
196,1200668066
198,1207346333
200,1216461900
202,1287107933
204,1354065700
206,1477209666
208,1425316366
210,1422768633
212,1413990633
214,1434240200
216,1412848433
218,1365265000
220,1333229666
222,1317897866
224,1302657666
226,1297093233
228,1307699233
230,1311172200
232,1329191300
234,1341306066
236,1338961700
238,1355214000
240,1518672233
242,1579642600
244,1548626766
246,1572079766
248,1547978833
250,1560841300
252,1569831433
254,1540279900
256,1515140800
258,1459310066
260,1467672900
262,1427282766
264,1426060266
266,1439848733
268,1439732700
270,1462628700
272,1535949066
274,1636723633
276,1724852366
278,1681062866
280,1720479800
282,1655143900
284,1595843100
286,1573883900
288,1529310966
290,1534117366
292,1522454333
294,1530707400
296,1552213866
298,1567291866
300,1767599333
