Recursion Limit, Time Elapsed
2,2532498733
4,2495819066
6,2558431733
8,2534291233
10,2482267600
12,2492679933
14,2491957033
16,2509676466
18,2521835833
20,2536280366
22,2584884633
24,2560007266
26,2549610800
28,2578922800
30,2603841300
32,2651316366
34,2660191466
36,2643631700
38,2660699533
40,2694935633
42,2699824000
44,2705513833
46,2729683833
48,2773034933
50,2780957666
52,2820484200
54,2828967133
56,2828940966
58,2842672666
60,2849300666
62,2916970500
64,2920757333
66,2926262566
68,2939574266
70,2966397533
72,2943407733
74,3044705066
76,3062076433
78,3090054700
80,3248119200
82,3548395066
84,3531309566
86,3558438100
88,3560827300
90,3618618633
92,3647867500
94,3603027033
96,3637982566
98,3452314066
100,3320792333
102,3230971400
104,3229514066
106,3250764466
108,3299047633
110,3335618933
112,3403340766
114,3405954366
116,3422216700
118,3453763600
120,3480931633
122,3476727800
124,3495317866
126,3517193566
128,3582524866
130,3993458866
132,4104351733
134,4119369266
136,4131880733
138,4126476900
140,4144383433
142,4178634466
144,4070830966
146,3825866833
148,3694586533
150,3674076000
152,3724509900
154,3759832233
156,3824268066
158,3804584500
160,3843575900
162,3844613533
164,3899182733
166,3904328533
168,4130759566
170,4572125766
172,4544442433
174,4579957166
176,4582966033
178,4587131766
180,4614099766
182,4665435600
184,4583383300
186,4254895266
188,4136590500
190,4099480400
192,4181181966
194,4191732766
196,4241342400
198,4245266500
200,4269635266
202,4302524966
204,4328016566
206,4345647400
208,4958575200
210,5035366633
212,5023420066
214,5032563400
216,5114051733
218,5098447200
220,5071088166
222,4824142433
224,4555489466
226,4443076000
228,4512515333
230,4572215300
232,4632652100
234,4645172500
236,4677243866
238,4676097733
240,5335040066
242,5416377900
244,5398547133
246,5447788266
248,5444678700
250,5453773066
252,5392223500
254,4968430033
256,4788449666
258,4806811766
260,4898002733
262,4908383700
264,4961473066
266,5000501600
268,5401543333
270,5730691600
272,5742253200
274,5777530966
276,5790057900
278,5839863200
280,5754151900
282,5625971466
284,5220026100
286,5067739433
288,5125552933
290,5199353666
292,5388957400
294,5275214100
296,5262770433
298,5977504933
300,6101981400
