Recursion Limit, Time Elapsed
2,987845933
4,971854833
6,932471266
8,954057266
10,927254166
12,920209366
14,933098533
16,920701633
18,893037666
20,883218500
22,883087133
24,909453366
26,903306233
28,898505133
30,895566533
32,889404666
34,879266300
36,891172400
38,912759933
40,943300300
42,996293966
44,1023399500
46,1029482733
48,1040406833
50,1044569166
52,1029970266
54,1000356900
56,1070750166
58,1066321133
60,1041340966
62,1014365233
64,1011823633
66,1012677766
68,994711200
70,1012662900
72,1002364566
74,1023264633
76,1043682100
78,1082606533
80,1130659833
82,1182464033
84,1208322233
86,1200109166
88,1213269300
90,1195204733
92,1170247133
94,1154672000
96,1139608566
98,1127417666
100,1123685900
102,1127655966
104,1175620066
106,1197258366
108,1290875466
110,1307070166
112,1323140600
114,1326630066
116,1330915400
118,1332340400
120,1334594300
122,1280882633
124,1284976600
126,1279843100
128,1247664900
130,1242121333
132,1251040466
134,1237438800
136,1262705933
138,1287071733
140,1434506400
142,1498836466
144,1464462733
146,1486414500
148,1476051566
150,1460681200
152,1427137233
154,1419080866
156,1376623800
158,1364368333
160,1365337633
162,1357801600
164,1388170133
166,1423638133
168,1505189466
170,1596834433
172,1618607100
174,1633326533
176,1600194333
178,1536702666
180,1499325466
182,1499255833
184,1529781033
186,1502609200
188,1557977766
190,1609002633
192,1606613533
194,1620346400
196,1668682966
198,1640388033
200,1651298166
202,1622652133
204,1578809400
206,1563521833
208,1582144800
210,1653362200
212,1598323400
214,1578251366
216,1618648300
218,1829032400
220,1854236666
222,1824501166
224,1854563933
226,1865700833
228,1855618400
230,1833995433
232,1824554566
234,1763348400
236,1723826700
238,1693678733
240,1687043433
242,1683656466
244,1721382133
246,1742439066
248,1742247166
250,1765360400
252,1754705133
254,1997898400
256,1979179066
258,1996610300
260,2022336800
262,2014895666
264,1980150966
266,1897323366
268,1848613366
270,1807977300
272,1814255400
274,1807619166
276,1850719500
278,1864201133
280,2045440266
282,2131852333
284,2136409666
286,2155030233
288,2126370433
290,2137965166
292,2031108400
294,1955562233
296,1927954133
298,1926737166
300,1978134966
