Recursion Limit, Time Elapsed
2,373536033
4,364288600
6,350754433
8,317012433
10,309826833
12,310254233
14,325908066
16,315104100
18,329780700
20,316391066
22,326793500
24,328348566
26,327232333
28,325701066
30,331701266
32,330878400
34,337645666
36,338585933
38,351215766
40,350653833
42,362513933
44,349012166
46,376181833
48,362502833
50,361321100
52,368421633
54,381679633
56,375546633
58,380537766
60,408695333
62,406599466
64,385526533
66,417477500
68,454872166
70,403832300
72,405072300
74,415393866
76,435082333
78,430950766
80,422400933
82,435302366
84,437337566
86,442515466
88,438555633
90,442265033
92,448807300
94,456336466
96,453597900
98,458790066
100,458697000
102,478440100
104,469347666
106,474775733
108,473806866
110,491944066
112,488222666
114,486682900
116,493354833
118,509927666
120,501828000
122,501877900
124,506676666
126,526085533
128,518121900
130,521918500
132,524838366
134,543413400
136,527273500
138,532104900
140,535381133
142,546657366
144,551814666
146,555797633
148,560242900
150,575139433
152,566906066
154,579053600
156,573232133
158,575607800
160,589667366
162,578503566
164,594024966
166,602504366
168,595724600
170,596068233
172,611823833
174,619530466
176,614417800
178,621391266
180,616620166
182,631250800
184,618659533
186,628319466
188,639991666
190,641900300
192,649797200
194,652061000
196,661444366
198,661907933
200,664879633
202,675899100
204,669582000
206,685520333
208,675475466
210,671644333
212,689056900
214,699194066
216,720553000
218,805468233
220,783801566
222,821445766
224,804192800
226,806286700
228,813457166
230,835851266
232,828130433
234,831827633
236,822559866
238,821763533
240,791151633
242,788594533
244,774781633
246,788635266
248,760977466
250,757815433
252,750480900
254,767944666
256,756951366
258,759298000
260,771770666
262,786451766
264,767135100
266,778403700
268,774585300
270,807271333
272,803146566
274,791369266
276,812654366
278,813829000
280,810070966
282,823547200
284,812358900
286,840590966
288,834194800
290,835562066
292,839359666
294,847877366
296,854140233
298,850135566
300,860185933
