Recursion Limit, Time Elapsed
2,1669515033
4,1610410933
6,1515409266
8,1578439233
10,1572264700
12,1564165566
14,1562742033
16,1572937233
18,1608900033
20,1633758700
22,1616141033
24,1613383700
26,1663797633
28,1637723633
30,1642244600
32,1653345466
34,1680462766
36,1689857700
38,1671539166
40,1869964200
42,1986113300
44,1974131233
46,1916053466
48,1860040366
50,1831093100
52,1830245833
54,1783741466
56,1758158333
58,1780637766
60,1784663200
62,1830285833
64,1843389433
66,1826576366
68,1853102266
70,1882118933
72,1904191833
74,1905759833
76,1927942633
78,1951997700
80,1971551433
82,1989389866
84,1994274733
86,1989269633
88,2010853300
90,2034696433
92,2068380833
94,2057360500
96,2091579333
98,2105997033
100,2100594266
102,2471044066
104,2405676033
106,2391641966
108,2299439400
110,2237750933
112,2183061600
114,2161852200
116,2174895866
118,2192871766
120,2224231200
122,2234981466
124,2237126766
126,2250797100
128,2283197200
130,2303703300
132,2322947466
134,2362085733
136,2346931100
138,2353776733
140,2372867333
142,2393030833
144,2397897200
146,2421890333
148,2435150600
150,2446724133
152,2474319800
154,2497216400
156,2486782166
158,2528281200
160,2623356933
162,2891211633
164,2734297200
166,2613511800
168,2549295500
170,2551774700
172,2581869433
174,2580581600
176,2648906166
178,2637226100
180,2680846766
182,2650107333
184,2709169300
186,2727636733
188,2728560200
190,2730555566
192,2757505066
194,2747013166
196,2748770366
198,2781156266
200,3799185733
202,3620786800
204,3716471066
206,3635859366
208,3979838666
210,3788366666
212,3895160433
214,3767766533
216,3870428933
218,3913177566
220,3894473600
222,4366762433
224,5387714000
226,4542894700
228,4000286400
230,4116739200
232,4079143400
234,3928666700
236,3950723233
238,3911005400
240,3963542033
242,3966572066
244,4273384100
246,4414441166
248,4191608466
250,4269287100
252,4121264600
254,4121364566
256,4172056400
258,4194997666
260,4179501633
262,4283957000
264,4169467333
266,4250121933
268,4311393833
270,4337570366
272,4402215233
274,4262897700
276,4339548033
278,4344503533
280,4523593600
282,4643004300
284,4512649100
286,4534520700
288,4659754300
290,4675711533
292,4564706366
294,4421628200
296,4575194733
298,4708263766
300,4867637333
