Recursion Limit, Time Elapsed
2,1280562466
4,1265286600
6,1249927800
8,1260343033
10,1254732433
12,1246823633
14,1230838333
16,1275311000
18,1248967533
20,1289864533
22,1283669533
24,1281445733
26,1306707900
28,1302068300
30,1306799200
32,1324893666
34,1334324333
36,1343803466
38,1337232066
40,1361213166
42,1372175433
44,1360763666
46,1556295366
48,1565820633
50,1552270366
52,1562569900
54,1554982600
56,1492790666
58,1484910233
60,1462421166
62,1444146333
64,1438118700
66,1439822233
68,1434549700
70,1446660366
72,1479518166
74,1497190033
76,1502101833
78,1516549166
80,1529116700
82,1533617600
84,1553290633
86,1561782433
88,1561117633
90,1567881000
92,1570317800
94,1598274366
96,1577102133
98,1599736433
100,1607190433
102,1649571266
104,1658131233
106,1709012233
108,1703658500
110,1681356666
112,1703428133
114,1679316900
116,1700276966
118,1731824333
120,1719719233
122,1728407066
124,1772724933
126,1772104400
128,1775832133
130,1778510033
132,1807407600
134,1805573933
136,1828695233
138,1858272766
140,1866065933
142,1858225400
144,1876048133
146,1871969833
148,1878811833
150,1921420133
152,1929601200
154,1933849866
156,1917036566
158,1967007533
160,1970532666
162,1973408433
164,1976051366
166,1999042633
168,2027326433
170,2016012866
172,2005654733
174,2042963800
176,2030674366
178,2057053066
180,2078415700
182,2076773366
184,2106687500
186,2110811266
188,2114560333
190,2135476066
192,2131104600
194,2147407900
196,2161861900
198,2174263200
200,2160669266
202,2194216600
204,2192820466
206,2217024800
208,2261985966
210,2248370400
212,2232068133
214,2267682166
216,2250915933
218,2292117633
220,2291350100
222,2292781200
224,2308900100
226,2356932400
228,2379073633
230,2346793100
232,2354771000
234,2379162366
236,2391158866
238,2365337466
240,2402248366
242,2442812766
244,2414715366
246,2440566833
248,2451582966
250,2525513433
252,2469796133
254,2513948533
256,2545720866
258,2511558533
260,2522727066
262,2534724400
264,2573627233
266,2548817866
268,2565091433
270,2579035333
272,2614305833
274,2582891366
276,2619318366
278,2629622800
280,2649538233
282,2630792633
284,2646297333
286,2693138266
288,2696141433
290,2683337033
292,2688040733
294,2749027933
296,2708744800
298,2736417633
300,2729796833
