Recursion Limit, Time Elapsed
2,2854929233
4,2680455033
6,2567059866
8,2633829633
10,2604319833
12,2627662633
14,2575069200
16,2603691500
18,2612135133
20,2580950600
22,2588840666
24,2633612966
26,2730536700
28,2698259833
30,2689911733
32,2713104766
34,2685613233
36,2666298333
38,3036852600
40,3317201700
42,2775275100
44,2808247900
46,2857614066
48,2871721666
50,2926123133
52,2832120533
54,2935264733
56,2877478800
58,2948836633
60,2957945900
62,3071195500
64,3005639533
66,3016096500
68,2983825166
70,3020812866
72,3075311333
74,3111417966
76,3121659300
78,3115783200
80,3142384033
82,3322107400
84,3205196833
86,3244730966
88,3233319033
90,3202300100
92,3349324033
94,3326339233
96,3294420200
98,3369207933
100,3314027933
102,3379744733
104,3450642000
106,3398063000
108,3422023400
110,3438207266
112,3438304033
114,3470605700
116,3469558700
118,3544636200
120,3616205966
122,3608200400
124,3695085866
126,3565624566
128,3600267233
130,3701900500
132,3749014300
134,3690220333
136,3818513700
138,3761755033
140,3769395433
142,3823289633
144,3899198766
146,3784298033
148,3837866700
150,3812549033
152,3883543533
154,3968896800
156,3868187066
158,4040906800
160,3977724933
162,3903737433
164,4073438566
166,4095605833
168,4023420066
170,4026140633
172,4119654933
174,4057262600
176,4103926733
178,4174823400
180,4182045033
182,4307121500
184,4139024133
186,4322831700
188,4216635266
190,4276877033
192,4281963433
194,4220871533
196,4284982133
198,4326877233
200,4403009833
202,4486299166
204,4492758666
206,4559526866
208,4499989766
210,4483809133
212,4483369900
214,4452184566
216,4524291366
218,4654768400
220,4533207633
222,4549829566
224,4704221566
226,4710693400
228,4672484866
230,4677373533
232,4678707333
234,4788627166
236,4828550700
238,4764232366
240,4817619633
242,4805029266
244,4857887866
246,4836587466
248,4874947433
250,4956574200
252,4916473733
254,4996030633
256,5039623133
258,5165052066
260,4958059700
262,5056779733
264,5103268566
266,5049926633
268,5196152733
270,5217126200
272,5217317300
274,5150144933
276,5164302100
278,5254315366
280,5184612166
282,5371434700
284,5428284066
286,5294735266
288,5432336266
290,5409664866
292,5372072066
294,5340672500
296,5396154566
298,5359294700
300,5374563066
