Recursion Limit, Time Elapsed
2,1335114966
4,1296358000
6,1226702733
8,1271067433
10,1252609866
12,1259845966
14,1266265133
16,1288333700
18,1257786100
20,1304187400
22,1293814900
24,1309857133
26,1308805433
28,1339494200
30,1313287900
32,1350947400
34,1350185766
36,1348402966
38,1352869800
40,1358651033
42,1347348066
44,1390469800
46,1380046833
48,1416828200
50,1426455033
52,1415615200
54,1434756766
56,1449502933
58,1450932066
60,1461184233
62,1471251266
64,1485618166
66,1494849000
68,1583996800
70,1755300166
72,1760610933
74,1708082500
76,1682566033
78,1613797300
80,1601893566
82,1595247800
84,1554323233
86,1570577133
88,1554630900
90,1597149900
92,1600450900
94,1612855300
96,1634704266
98,1665684066
100,1671698233
102,1667435233
104,1675150500
106,1709467133
108,1735960466
110,1738891400
112,1761428800
114,1754133700
116,1799688300
118,1782870833
120,1796460100
122,1790379066
124,1801088733
126,1821855066
128,1814419600
130,1850076900
132,1864630966
134,1845051366
136,1890352166
138,1870371666
140,1876947200
142,1910105466
144,1942441000
146,1914999800
148,1951074766
150,1942444266
152,1988214733
154,1995859333
156,2010227266
158,1993295200
160,2012824533
162,2031915333
164,2027137766
166,2059303800
168,2066705766
170,2082949333
172,2063220833
174,2113701600
176,2107730266
178,2115754400
180,2121897066
182,2151095833
184,2160905300
186,2156141166
188,2172014666
190,2184547366
192,2206343366
194,2196326166
196,2236461833
198,2241175066
200,2250746700
202,2264726933
204,2299661233
206,2287515266
208,2323065033
210,2309124366
212,2322173500
214,2341655066
216,2343209366
218,2358001000
220,2362502233
222,2380463433
224,2386618733
226,2417995500
228,2418186266
230,2423733600
232,2416980366
234,2461976000
236,2440119900
238,2476399100
240,2494082666
242,2489119966
244,2492720466
246,2513992633
248,2544158166
250,2528669633
252,2543160733
254,2589416200
256,2569316766
258,2577803000
260,2598717233
262,2597401433
264,2613760866
266,2636394633
268,2622628533
270,2648166933
272,2667322266
274,2653501700
276,2706844433
278,2703065100
280,2711914100
282,2728446366
284,2732235600
286,2763006866
288,2748608133
290,2789703500
292,2775623866
294,2819874166
296,2810821400
298,2842398700
300,2805487133
