Recursion Limit, Time Elapsed
2,261714433
4,225153866
6,219659966
8,215884900
10,155063866
12,132283666
14,122767233
16,115753800
18,124381766
20,119203333
22,119648366
24,121338200
26,122591166
28,122023166
30,128828800
32,123643300
34,128550300
36,132742166
38,142232900
40,129731400
42,122895533
44,124434833
46,127340033
48,128616600
50,130663866
52,138062433
54,125629500
56,130737600
58,138365233
60,136006333
62,136552666
64,156068333
66,149284566
68,139239100
70,140976366
72,167219333
74,175516366
76,157747066
78,194020866
80,215630833
82,293996000
84,177342366
86,165998433
88,177877633
90,196422566
92,187224800
94,262018866
96,185021300
98,176009033
100,199852300
102,227981833
104,263282400
106,188058466
108,251339566
110,238113433
112,189879466
114,181324766
116,174137033
118,180232733
120,201653433
122,186083500
124,181362066
126,177634400
128,184865000
130,179431600
132,180711433
134,181356300
136,183454733
138,188676766
140,193266400
142,188620333
144,190773000
146,186140000
148,195449366
150,189662366
152,190372433
154,214085366
156,206170533
158,202359333
160,203499000
162,205829733
164,200243433
166,205026166
168,212130466
170,213343066
172,223810766
174,207396866
176,208055733
178,219870166
180,214985833
182,218338900
184,225978833
186,219008000
188,223744533
190,226004233
192,226458466
194,226832700
196,226063100
198,231522466
200,229184366
202,235553600
204,235095733
206,244504733
208,241196600
210,241547200
212,245496500
214,246941633
216,248769566
218,253217600
220,246585766
222,246132766
224,251411966
226,246637200
228,252697533
230,262411200
232,259481333
234,262333300
236,257589900
238,262234133
240,290950800
242,277543033
244,276507100
246,270338733
248,267945166
250,267361500
252,276526000
254,282523966
256,276989233
258,286224566
260,294356100
262,276362933
264,271267700
266,273909633
268,265336833
270,271277633
272,280088166
274,280228133
276,294635766
278,298656366
280,295052300
282,297992233
284,300509733
286,301497900
288,294893966
290,291928600
292,296747200
294,296437633
296,288439166
298,289123866
300,297631933
