Recursion Limit, Time Elapsed
2,3050834933
4,2814202066
6,2901044700
8,2747147600
10,2731520133
12,2763592033
14,2750028700
16,2726554333
18,2736851133
20,2817458533
22,2737450100
24,2741046366
26,2864509966
28,2926059900
30,2903220433
32,2896620600
34,2918670833
36,2958666500
38,2909561433
40,2982985133
42,2998042800
44,3130233066
46,3119495333
48,3021569233
50,3106538800
52,3072086066
54,3177446400
56,3245706300
58,3175341433
60,3108287766
62,3158554733
64,3244773700
66,3240874666
68,3302432400
70,3251523666
72,3355967500
74,3376639400
76,3393716400
78,3325665500
80,3341979433
82,3631141400
84,3415437366
86,3436670466
88,3562588200
90,3444218333
92,3502773933
94,3571058833
96,3577884700
98,3512011566
100,3582764500
102,3700622933
104,3688555666
106,3784916766
108,3771307100
110,3740310466
112,3668155066
114,3792107766
116,3889708100
118,3732237266
120,3880640800
122,3909115866
124,3905540033
126,3868838200
128,4741570366
130,4024567733
132,4272800333
134,3935020000
136,4013895800
138,4065956733
140,4038160833
142,4088327433
144,4139331766
146,4085807733
148,4212070400
150,4314139366
152,4162255166
154,4204898633
156,4299723066
158,4201574200
160,4537948066
162,4324869433
164,4285440333
166,4326866166
168,4311226133
170,4483182333
172,4371586633
174,4605044466
176,4417487933
178,4517964700
180,4517154200
182,4467657900
184,4740035233
186,4589715133
188,4497828900
190,4554078433
192,4592480333
194,4881171633
196,4656722000
198,4575467833
200,4719867766
202,4687542266
204,4717594200
206,4671725133
208,4752657733
210,4874928166
212,4916536600
214,4840209800
216,4855321533
218,4947158266
220,4935406633
222,4989481233
224,4877427000
226,4926468900
228,5106037133
230,5102596166
232,5053654433
234,5142462666
236,5264109233
238,5111208133
240,5250680933
242,5113674400
244,5078221333
246,5150744900
248,5194700333
250,5263173933
252,5211367366
254,5337235900
256,5295442333
258,5278971933
260,5245391933
262,5435668600
264,5471204900
266,5366386400
268,5548305400
270,5649987266
272,5507977233
274,5495888433
276,5685672500
278,5586235866
280,5554348600
282,5676065933
284,5621597633
286,5707136533
288,5705892333
290,5766507500
292,5653292233
294,5663060566
296,5723257600
298,5787524066
300,5698339066
