Recursion Limit, Time Elapsed
2,3060652833
4,3065995133
6,3127356166
8,2982599700
10,2995158966
12,3008778900
14,2982924266
16,2996899166
18,3099143633
20,3032989033
22,3026028733
24,3046970400
26,3065777766
28,2987558766
30,2836797200
32,2789581366
34,2740760233
36,2719401933
38,2788851233
40,2815872833
42,2854782033
44,2842291733
46,2850961266
48,3326962166
50,3374410033
52,3354778400
54,3355344900
56,3378790400
58,3418854866
60,3411462900
62,3413773100
64,3453789033
66,3488899600
68,3515569166
70,3534355166
72,3531600000
74,3570078466
76,3493218233
78,3411030900
80,3303076433
82,3231286733
84,3194465666
86,3261495433
88,3306253600
90,3346290366
92,3361128100
94,3616702600
96,3905413900
98,3927787200
100,3907420733
102,3925830533
104,3929989600
106,3965375833
108,4013167566
110,4023522666
112,4013059466
114,4023474566
116,4087628900
118,4081827800
120,4004761533
122,3782593233
124,3644690066
126,3613781700
128,3681332000
130,3745698900
132,3732355200
134,3816571533
136,3826244800
138,4334419700
140,4464980400
142,4423550966
144,4494638133
146,4484366700
148,4494932566
150,4528174066
152,4545474033
154,4571739033
156,4579464800
158,4569221000
160,4464845666
162,4220394600
164,4061888866
166,4067085366
168,4121394466
170,4179185900
172,4214552066
174,4232314466
176,4708055633
178,4903577366
180,4977555500
182,4964089100
184,5004949200
186,4942197200
188,4988707100
190,5032308000
192,5044335933
194,5006281366
196,4769745433
198,4496947333
200,4415941366
202,4497229266
204,4567941433
206,4570325833
208,4633932100
210,4865074033
212,5404823333
214,5360698033
216,5431075233
218,5419004933
220,5478459400
222,5456938733
224,5452193500
226,5442290400
228,5361922400
230,5222690800
232,4860277333
234,4828519300
236,4887118566
238,4917476400
240,4956811766
242,5013365933
244,5611272833
246,5789748966
248,5796590200
250,5863575800
252,5836011666
254,5899206233
256,5874620500
258,5897583933
260,5661807066
262,5406558500
264,5210427333
266,5209421766
268,5392247966
270,5347160333
272,5367974466
274,5998245366
276,6184306833
278,6195366966
280,6187779966
282,6203927900
284,6394251566
286,6257593466
288,6091408033
290,5724098600
292,5551119733
294,5530340366
296,5581265466
298,5635026500
300,6035282666
