Recursion Limit, Time Elapsed
2,254937800
4,245887300
6,241700366
8,240908266
10,238567966
12,234757000
14,232880000
16,241770466
18,233443400
20,233311733
22,230969633
24,255358866
26,244075466
28,233046933
30,242448433
32,235004166
34,239316233
36,238889766
38,257791333
40,242499900
42,241088066
44,245253200
46,251551933
48,248128933
50,252290966
52,254408000
54,251029266
56,252299966
58,259219366
60,263431333
62,260981800
64,268314700
66,267328333
68,270712166
70,275186200
72,277246800
74,286974200
76,290205633
78,283665033
80,297001400
82,288549366
84,304275766
86,297716833
88,303270233
90,309540633
92,317537200
94,308981833
96,310684866
98,305626566
100,314706766
102,317691233
104,326576766
106,339748333
108,327996800
110,320546733
112,326606566
114,340532033
116,342538866
118,349186400
120,348894600
122,350105933
124,353953800
126,361043900
128,359155200
130,362615633
132,366748333
134,366449466
136,369443533
138,376982900
140,377274100
142,369539233
144,372209800
146,377616866
148,383171933
150,390852833
152,407122133
154,387959800
156,391476266
158,395473333
160,403893666
162,405330300
164,428793266
166,415686933
168,413933200
170,410623100
172,411712700
174,419833333
176,433574333
178,438123633
180,432834433
182,511501066
184,444956400
186,453999433
188,445401800
190,446765500
192,449883800
194,453698633
196,452545266
198,461389133
200,457520800
202,459802866
204,472895200
206,476363033
208,472010733
210,471077033
212,480011766
214,484955966
216,481040466
218,482083966
220,493284833
222,506004933
224,500498066
226,532434633
228,566646733
230,573937433
232,580382166
234,585892200
236,592618800
238,592621000
240,598711866
242,595966300
244,593667966
246,603046100
248,591672833
250,596151966
252,597145066
254,606598666
256,608028533
258,615597066
260,622839433
262,611545566
264,623496100
266,623389800
268,632569833
270,629569200
272,640970766
274,625307433
276,622839900
278,613621533
280,622313866
282,616499300
284,625445533
286,623978700
288,632388433
290,608023800
292,615851033
294,614294933
296,605897000
298,603605233
300,590989000
