Recursion Limit, Time Elapsed
2,17811566
4,47641266
6,12016866
8,41099500
10,13484100
12,12815700
14,11441233
16,13211333
18,13979000
20,20842900
22,54551066
24,57435433
26,54569200
28,22812000
30,10726033
32,13316233
34,11822766
36,10712500
38,13454766
40,11438766
42,10411633
44,10577266
46,9669166
48,10639266
50,12660366
52,13182533
54,9529733
56,11306200
58,10179766
60,9871433
62,9444133
64,10686133
66,12806433
68,12452566
70,11190166
72,10928166
74,10530800
76,13389500
78,11724733
80,10321266
82,10044566
84,9304600
86,23436333
88,34426300
90,29481866
92,29513800
94,32259600
96,31730366
98,28709566
100,27228566
102,29724966
104,30029033
106,19431900
108,17724766
110,17896866
112,20566666
114,17984333
116,12160866
118,6154766
120,6184266
122,6699333
124,5469766
126,6279766
128,5349366
130,5718800
132,7534066
134,6652166
136,6475200
138,6246866
140,6114166
142,6260133
144,6089466
146,5554866
148,5690700
150,5421300
152,7073133
154,6626033
156,5257000
158,4508933
160,4651866
162,6380433
164,4164766
166,4782233
168,5588966
170,6442666
172,6342733
174,5849266
176,6029033
178,8539133
180,6997733
182,8727500
184,7011100
186,6635233
188,7666766
190,7116333
192,7009833
194,6902133
196,7630966
198,7175233
200,7888500
202,9681100
204,9046166
206,8759966
208,8867433
210,8575033
212,8471033
214,10300833
216,9354633
218,8716666
220,10276166
222,9865200
224,10583100
226,11080300
228,14941566
230,10014733
232,12453366
234,10016100
236,8871433
238,10839500
240,9978900
242,11664766
244,10944433
246,9291000
248,9482700
250,9516233
252,9194266
254,8531233
256,10415100
258,10421333
260,11509200
262,8919600
264,8570533
266,7800766
268,8278766
270,10758533
272,11293733
274,10771900
276,10536566
278,11643566
280,13083033
282,13107966
284,12081033
286,12447433
288,10124800
290,12914166
292,10642000
294,11861866
296,11032966
298,12037033
300,13016533
