Recursion Limit, Time Elapsed
2,1485428733
4,1465910266
6,1455427000
8,1431393600
10,1442863000
12,1455038800
14,1487157133
16,1473543766
18,1474982100
20,1470549333
22,1494512833
24,1488780133
26,1497669866
28,1503659800
30,1521003433
32,1537299000
34,1556783133
36,1604719800
38,1550191533
40,1573531300
42,1581104300
44,1597240033
46,1794496800
48,1858692066
50,1800557433
52,1770623100
54,1707204800
56,1686697333
58,1660156033
60,1646044133
62,1659468100
64,1676787766
66,1687571266
68,1707353200
70,1740030933
72,1729938200
74,1793818133
76,1754122900
78,1780431866
80,1791659900
82,1815904700
84,1828035500
86,1818278033
88,1858138466
90,1849894766
92,1879760166
94,1889455333
96,1895988200
98,1895828766
100,1928150100
102,1937946200
104,1970242600
106,1975371333
108,1971394233
110,1982034300
112,2003852000
114,2017565200
116,2009503133
118,2047881566
120,2026663800
122,2060712300
124,2085137433
126,2082831766
128,2275054333
130,2298996466
132,2213505533
134,2145998666
136,2142185100
138,2121899833
140,2186311600
142,2138992033
144,2190184133
146,2194887133
148,2230733166
150,2237724900
152,2241048466
154,2251272400
156,2265163500
158,2298021133
160,2281840066
162,2311957333
164,2341169800
166,2340701766
168,2356516033
170,2365731966
172,2398166200
174,2391688566
176,2416689233
178,2427927366
180,2446966633
182,2464022366
184,2475977300
186,2452479400
188,2490738066
190,2587470700
192,2542664866
194,2537215633
196,2559662633
198,2547125466
200,2576709866
202,2587954600
204,2608310166
206,2617623033
208,2598940800
210,2641691366
212,2699204166
214,2689586400
216,2640499066
218,2713476766
220,2717242966
222,2701792466
224,2743002633
226,2750147733
228,2797745500
230,2795085833
232,2788951633
234,2826673733
236,2807530433
238,2828902366
240,2815482233
242,2880658700
244,2848972066
246,2862640566
248,2894772633
250,2931962033
252,2912410333
254,2940214866
256,2939217700
258,2970090600
260,2940960633
262,3000586166
264,3003976033
266,2969517066
268,3014905400
270,3068456766
272,3035289766
274,3091960000
276,3064805633
278,3062182200
280,3088197200
282,3146326733
284,3127825266
286,3120258500
288,3152008433
290,3198405300
292,3197176933
294,3184421400
296,3205386700
298,3247301633
300,3201836666
