Recursion Limit, Time Elapsed
2,2551773200
4,2537135700
6,2448131800
8,2362704433
10,2399070966
12,2336050833
14,2404018033
16,2476271133
18,2412624900
20,2378316400
22,2427470900
24,2379656833
26,2404154666
28,2396246033
30,2486738466
32,2469111333
34,2512603800
36,2537203466
38,2558910566
40,2513910266
42,2557816933
44,2539872933
46,2575282166
48,2714065933
50,2606236333
52,2711373300
54,2659426266
56,2683750333
58,2642673133
60,2647859666
62,2762826833
64,2803702133
66,2766416566
68,2775844533
70,2817097900
72,2840365066
74,2982673333
76,2879197966
78,2962818633
80,2910489933
82,2958777766
84,2938418866
86,3012673500
88,2986877066
90,2976914700
92,3043800233
94,3007591266
96,3035294266
98,3040785433
100,3213113500
102,3285814100
104,3446469333
106,3197522333
108,3451874866
110,3495884866
112,3300927666
114,3187162233
116,3249539166
118,3309376800
120,3251858100
122,3298702833
124,3267543633
126,3292436566
128,3357184500
130,3337580333
132,3343424166
134,3412534333
136,3423058900
138,3393789033
140,3429505700
142,3469066900
144,3441349400
146,3447259233
148,3537835133
150,3567243866
152,3467530133
154,3558741500
156,3661376633
158,3639109733
160,3552041800
162,3697101666
164,3694896400
166,3646331900
168,3656283266
170,3650844700
172,3761902533
174,3874103100
176,3726360400
178,3829785733
180,3810840766
182,4436180433
184,3980850166
186,3892726066
188,3969688333
190,3985015800
192,3991759500
194,4206205166
196,4047279333
198,4032123433
200,4122492266
202,4041368100
204,4209063666
206,4194430900
208,4140086133
210,4059845366
212,4169958466
214,4194881166
216,4184357600
218,4322637766
220,4113211133
222,4202917800
224,4360842900
226,4375237800
228,4400205433
230,4416155600
232,4412318966
234,4504110266
236,4525739866
238,4396421633
240,4403699533
242,4464469933
244,4542335500
246,4458913933
248,4559068833
250,4512965133
252,4475323100
254,4601193633
256,4596329666
258,4569031100
260,4645783466
262,4646344866
264,4793230066
266,4761052333
268,4685390400
270,4746001133
272,4610434666
274,4721346333
276,4883100100
278,4816095066
280,4720700300
282,4810055866
284,4855042266
286,4804415366
288,4835588133
290,4906743466
292,4859222800
294,5020441066
296,5043707166
298,4888119133
300,4951430400
