Recursion Limit, Time Elapsed
2,540138300
4,535677200
6,538267166
8,519869633
10,480838166
12,477432666
14,492552333
16,485431300
18,488806566
20,497078266
22,494708900
24,534999233
26,499386966
28,501720733
30,514088200
32,510237866
34,508256933
36,525866500
38,519730833
40,529708366
42,533039966
44,532165333
46,537940866
48,547607300
50,552290166
52,566385133
54,561823233
56,575218533
58,571148633
60,569091166
62,593831766
64,577147933
66,592377800
68,609746833
70,602252933
72,610377666
74,605172600
76,615847966
78,629444466
80,634100033
82,637772933
84,646742200
86,648521333
88,658399200
90,659473100
92,667940533
94,675800433
96,673134366
98,675213166
100,689461633
102,685481733
104,699064000
106,692153900
108,704734933
110,713276000
112,781775500
114,823061000
116,830872566
118,825131733
120,843590733
122,842451200
124,845816500
126,868915200
128,842708533
130,863562433
132,877282966
134,844866966
136,852803200
138,823980800
140,817622533
142,827991800
144,811724000
146,812855700
148,823215900
150,795214066
152,817429833
154,812816733
156,821268500
158,848540600
160,828603366
162,846621900
164,859761033
166,859288633
168,872638733
170,868714000
172,880050966
174,885430533
176,883212833
178,898853233
180,898580466
182,896840033
184,920974266
186,900677666
188,921226033
190,930562833
192,934177000
194,925969233
196,956616333
198,948092166
200,969413866
202,956050100
204,953260533
206,991203500
208,986500400
210,984522866
212,1010133500
214,1009954900
216,1003860266
218,1002377233
220,1026640166
222,1020317233
224,1008644800
226,1017871300
228,1050222833
230,1032344466
232,1045951566
234,1057203000
236,1082870133
238,1201999333
240,1207860133
242,1214767166
244,1229587366
246,1226883466
248,1210745533
250,1186659900
252,1152381100
254,1150981966
256,1126138266
258,1117564700
260,1143899666
262,1104495466
264,1123992066
266,1117351066
268,1127738133
270,1139993466
272,1129761333
274,1149314000
276,1145076366
278,1171155800
280,1179432300
282,1190892166
284,1168230933
286,1210660566
288,1188853333
290,1206055666
292,1210387400
294,1212842133
296,1235207133
298,1238574466
300,1226102533
