Recursion Limit, Time Elapsed
2,3473813700
4,3345916233
6,3388340900
8,3187106866
10,3148250300
12,3166727900
14,3174123866
16,3191628733
18,3174220066
20,3188231200
22,3224869800
24,3264521433
26,3257129533
28,3242385966
30,3275537866
32,3320160933
34,3303341766
36,3338018433
38,3394064433
40,3400270533
42,3404889333
44,3443207566
46,3201470966
48,3091273333
50,3094258933
52,3049399066
54,3144696233
56,3180333766
58,3193650400
60,3461805766
62,3717896066
64,3728594400
66,3696492133
68,3752111533
70,3781311733
72,3826646633
74,3795034033
76,3817432900
78,3862402400
80,3870885666
82,3957862066
84,3976253666
86,3977413666
88,3962505966
90,3931794300
92,3874064233
94,3732707400
96,3594491000
98,3573421233
100,3576701533
102,3639563566
104,3676221366
106,3714945633
108,3733917633
110,3988179233
112,4365733066
114,4365500100
116,4403376433
118,4437223166
120,4434250233
122,4416959400
124,4467909033
126,4483375166
128,4504523200
130,4548361966
132,4607494066
134,4544131533
136,4326593000
138,4116949766
140,4015369933
142,4056806366
144,4123825933
146,4123732433
148,4246352133
150,4255682533
152,4876612233
154,4901028633
156,4914278233
158,4937050566
160,4953477466
162,4901527600
164,4996726800
166,4993311333
168,5030898233
170,5034651900
172,4932786066
174,4617474000
176,4435198233
178,4453214966
180,4506014933
182,4570719233
184,4618736266
186,4597901433
188,5285974833
190,5422962966
192,5396458400
194,5387688800
196,5450094200
198,5451761800
200,5471711766
202,5491278333
204,5474888500
206,5205781966
208,4878706366
210,4866771133
212,4871875766
214,4920478366
216,4979005700
218,5031206633
220,5488684666
222,5739167933
224,5824687733
226,5816745866
228,5825094833
230,5916293900
232,5903389500
234,5939352866
236,5800823966
238,5333824533
240,5193434800
242,5257185233
244,5333369300
246,5370529833
248,5395483366
250,5517392000
252,6218500033
254,6314126800
256,6221019400
258,6299362033
260,6327934833
262,6349364066
264,6248224766
266,5686787733
268,5470484233
270,5578804733
272,5587530433
274,5668174466
276,5753822700
278,6463094600
280,6842355700
282,6599054333
284,6620241066
286,6609252766
288,7638758800
290,7401950300
292,7487353100
294,8380090366
296,7937051733
298,7700670933
300,7663131333
