Recursion Limit, Time Elapsed
2,4296596033
4,4128431233
6,4066872433
8,4090287600
10,4209889966
12,4109424433
14,4061500966
16,4124880466
18,4004198833
20,4059763300
22,4027136733
24,4143168900
26,4150107566
28,4070928000
30,4162535633
32,4244857300
34,4252824300
36,4206054600
38,4274196100
40,4344808966
42,4301400133
44,4526806366
46,4706783000
48,4580255300
50,4689455200
52,4601167766
54,4505591800
56,4423193900
58,4539009000
60,4478206033
62,4525520200
64,4611966133
66,4647628900
68,4670474033
70,4716800800
72,4732861900
74,4757980200
76,4753118500
78,4831459300
80,4813982066
82,4873882433
84,4838030033
86,4918466900
88,5078447200
90,4965539266
92,5113133200
94,4958232600
96,5082757733
98,5025524400
100,5268134466
102,5248711766
104,5225177566
106,5206426366
108,5308128600
110,5297233266
112,5340573333
114,5322617800
116,5514640166
118,5921877100
120,5447746633
122,5494758166
124,5422708333
126,5442435066
128,5434865200
130,5687197900
132,5577029633
134,5732398200
136,5606839200
138,5655566166
140,5651809500
142,5691543800
144,5665946300
146,5672955500
148,5819246500
150,5978627066
152,5785878500
154,5925014433
156,5949990433
158,6037950100
160,6075358800
162,6047490233
164,5975952366
166,6181431633
168,6135336500
170,6162267400
172,6109517900
174,6171822000
176,6450987166
178,6500992900
180,6560207466
182,6374372200
184,6511224900
186,6450275233
188,6423499966
190,6408637566
192,6490204033
194,6472791300
196,6663913833
198,6618641266
200,6606745033
202,7102048100
204,6656630300
206,6724447933
208,6739254233
210,6670116500
212,6944050166
214,6758710733
216,6954858800
218,6781320866
220,6858401800
222,7086700033
224,6954359766
226,6983938866
228,7026085666
230,6986266400
232,7159293900
234,7200253200
236,7160442400
238,7233883000
240,7136870066
242,7470752500
244,7509577633
246,7445473233
248,7351198200
250,7340311766
252,7489748933
254,7489198933
256,7429994500
258,7690003866
260,7581117266
262,7612712100
264,7607884066
266,7728917466
268,7503140633
270,7547866333
272,7738587733
274,7661384366
276,7642162133
278,7811772166
280,8057989100
282,8082875033
284,7923241800
286,7855241400
288,8159309333
290,7959935733
292,7854029233
294,8085234166
296,8159011600
298,7970498900
300,8127777233
