-----------------------------------------------------
-----------------------------------------------------
Test files:
data_array20000.csv
data_array520000.csv
data_array1020000.csv
data_array1520000.csv
data_array2020000.csv
data_array2520000.csv
data_array3020000.csv
data_array3520000.csv
data_array4020000.csv
data_array4520000.csv
data_array5020000.csv
data_array5520000.csv
data_array6020000.csv
data_array6520000.csv
data_array7020000.csv
data_array7520000.csv
data_array8020000.csv
data_array8520000.csv
data_array9020000.csv
data_array9520000.csv

NOTES: Testing quick sort algorithm of various array sizes (total of 20 intervals between 20,000 and 10,000,000)
with a range between 2 and 300 recursions, increased by two, as well as getting the amount of time it takes
for each array to run. Also getting the average of three runs to filter out any non-significant differences in the run time.
-----------------------------------------------------

*************** Quick sorting array size: 20000 ***************

Number of Recursions: 90  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 29 ms : 481866 ns = (average) 29481866 ns
Number of Recursions: 92  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 29 ms : 513800 ns = (average) 29513800 ns
Number of Recursions: 94  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 32 ms : 259600 ns = (average) 32259600 ns
Number of Recursions: 96  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 31 ms : 730366 ns = (average) 31730366 ns
Number of Recursions: 98  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 28 ms : 709566 ns = (average) 28709566 ns
Number of Recursions: 100  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 27 ms : 228566 ns = (average) 27228566 ns
Number of Recursions: 102  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 29 ms : 724966 ns = (average) 29724966 ns
Number of Recursions: 104  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 30 ms : 29033 ns = (average) 30029033 ns
Number of Recursions: 106  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 19 ms : 431900 ns = (average) 19431900 ns
Number of Recursions: 108  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 17 ms : 724766 ns = (average) 17724766 ns
Number of Recursions: 110  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 17 ms : 896866 ns = (average) 17896866 ns
Number of Recursions: 112  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 20 ms : 566666 ns = (average) 20566666 ns
Number of Recursions: 114  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 17 ms : 984333 ns = (average) 17984333 ns
Number of Recursions: 116  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 12 ms : 160866 ns = (average) 12160866 ns
Number of Recursions: 118  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 154766 ns = (average) 6154766 ns
Number of Recursions: 120  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 184266 ns = (average) 6184266 ns
Number of Recursions: 122  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 699333 ns = (average) 6699333 ns
Number of Recursions: 124  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 5 ms : 469766 ns = (average) 5469766 ns
Number of Recursions: 126  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 279766 ns = (average) 6279766 ns
Number of Recursions: 128  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 5 ms : 349366 ns = (average) 5349366 ns
Number of Recursions: 130  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 5 ms : 718800 ns = (average) 5718800 ns
Number of Recursions: 132  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 7 ms : 534066 ns = (average) 7534066 ns
Number of Recursions: 134  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 652166 ns = (average) 6652166 ns
Number of Recursions: 136  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 475200 ns = (average) 6475200 ns
Number of Recursions: 138  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 246866 ns = (average) 6246866 ns
Number of Recursions: 140  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 114166 ns = (average) 6114166 ns
Number of Recursions: 142  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 260133 ns = (average) 6260133 ns
Number of Recursions: 144  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 89466 ns = (average) 6089466 ns
Number of Recursions: 146  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 5 ms : 554866 ns = (average) 5554866 ns
Number of Recursions: 148  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 5 ms : 690700 ns = (average) 5690700 ns
Number of Recursions: 150  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 5 ms : 421300 ns = (average) 5421300 ns
Number of Recursions: 152  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 7 ms : 73133 ns = (average) 7073133 ns
Number of Recursions: 154  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 626033 ns = (average) 6626033 ns
Number of Recursions: 156  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 5 ms : 257000 ns = (average) 5257000 ns
Number of Recursions: 158  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 4 ms : 508933 ns = (average) 4508933 ns
Number of Recursions: 160  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 4 ms : 651866 ns = (average) 4651866 ns
Number of Recursions: 162  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 380433 ns = (average) 6380433 ns
Number of Recursions: 164  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 4 ms : 164766 ns = (average) 4164766 ns
Number of Recursions: 166  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 4 ms : 782233 ns = (average) 4782233 ns
Number of Recursions: 168  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 5 ms : 588966 ns = (average) 5588966 ns
Number of Recursions: 170  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 442666 ns = (average) 6442666 ns
Number of Recursions: 172  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 342733 ns = (average) 6342733 ns
Number of Recursions: 174  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 5 ms : 849266 ns = (average) 5849266 ns
Number of Recursions: 176  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 29033 ns = (average) 6029033 ns
Number of Recursions: 178  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 8 ms : 539133 ns = (average) 8539133 ns
Number of Recursions: 180  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 997733 ns = (average) 6997733 ns
